job_title,so_viec_lam
chuyên viên tư vấn bảo hiểm,6
kỹ sư cấp thoát nước,6
digital marketing specialist,6
nhân viên bán hàng bình dương,6
nhân viên bán hàng tại cửa hàng,6
chuyên viên thiết kế nội thất,6
chuyên viên giải phóng mặt bằng,6
regional sales manager,6
nhân viên telesale ngân hàng quốc tế singapore làm giờ hành chính nhận học vấn thpt,6
kỹ sư xây dựng dân dụng,6
nhân viên quản lý kho,6
phó giám đốc kinh doanh,6
trưởng bưu cục,6
nhân viên tuyển dụng đào tạo,6
giám đốc kinh doanh khu vực,6
nhân viên vận hành livestream,6
trưởng phòng phát triển kinh doanh,6
nhân viên trực tổng đài,6
chuyên viên kiểm toán nội bộ,6
chuyên viên tư vấn đầu tư khcn,6
giám đốc nhà máy,6
kế toán giá thành sản xuất,6
thực tập sinh content marketing,6
nhân viên kỹ thuật điện điện tử,6
kỹ sư bán hàng sales engineer,6
kỹ sư me,6
kỹ sư hvac,6
thư ký văn phòng,6
tiktok content creator,6
thợ điện,6
nhân viên tư vấn khóa học,6
sales team leader,6
thư ký chủ tịch hđqt,6
nhân viên mua hàng quốc tế,6
senior account executive,6
quản lý cửa hàng winmart,6
trợ lý marketing,6
chuyên viên khai báo hải quan,6
product developer,6
thợ cơ khí,6
trưởng phòng hcns,6
nhân viên tư vấn môi trường,6
nhân viên cskh đối tác viettel money,6
trưởng phòng pháp chế,6
kỹ thuật viên sản xuất,6
nhân viên giao hàng bằng xe máy,6
account manager,6
lễ tân,6
trưởng nhóm thiết kế,6
giám sát kinh doanh vùng,6
giám sát an toàn lao động,6
production supervisor,6
nhân viên quản lý sản xuất,6
quản lý khu vực kinh doanh,6
chuyên viên marketing ads,6
kiểm soát nội bộ,6
nhân viên tư vấn trả góp tư vấn tài chính,6
nhân viên kinh doanh thức ăn chăn nuôi,6
kế toán tổng hợp nội bộ,6
chuyên viên vận hành sàn thương mại điện tử,6
chuyên viên tư vấn bảo hiểm nhân thọ kênh liên kết ngân hàng bidv,6
trưởng ban pháp chế,6
nhân viên mua hàng nội địa,6
nhân viên quay phim,6
giám sát tuyển dụng,6
thợ hàn,6
chuyên viên khách hàng cá nhân,6
chuyên viên quản lý chất lượng,6
nhân viên cung ứng,6
tư vấn viên thẩm mỹ,6
giám sát bán hàng kênh mt,6
nhân viên tư vấn kênh trả góp kênh xe máy,6
chief accountant,6
content executive,6
brand marketing executive,6
nhân viên sales marketing,6
nhân viên bảo trì điện công nghiệp,6
kiến trúc sư chủ trì,6
giám sát kỹ thuật,6
nhân viên kinh doanh kênh đại lý,6
nhân viên kinh doanh nội thất cao cấp,6
nhân viên kế hoạch vật tư,6
nhân viên content seo,6
nhân viên kỹ thuật âm thanh,5
nhân viên tư vấn dịch vụ viettel,5
nhân viên kinh doanh thiết bị cơ khí,5
nhân viên chất lượng,5
nhân viên kinh doanh kênh siêu thị,5
kỹ thuật sản xuất,5
nhân viên giám sát camera,5
nhân viên vận hành máy phay cnc,5
nhân viên bán hàng thời trang nữ,5
giám sát thương mại,5
giám sát mep,5
chuyên viên tư vấn đầu tư chứng khoán,5
chuyên viên quản trị hệ thống,5
chuyên viên seo marketing,5
kỹ sư shop drawing,5
nhân viên tuyển dụng mass,5
nhân viên admin kho,5
nhân viên kinh doanh kênh b2b,5
chuyên viên iso,5
nhân viên điều phối dự án,5
cửa hàng phó,5
phụ tá nha khoa,5
nhân viên bán hàng đi làm ngay,5
nhân viên tiếng nhật,5
nhân viên cskh,5
nhân viên kinh doanh nội thất tại hcm,5
giám đốc nhân sự,5
chuyên viên chuyên viên chính chuyên viên cao cấp khách hàng doanh nghiệp,5
nhân viên chăm sóc khách hàng tiếng nhật,5
thư ký tổng giám đốc,5
trưởng phòng qa qc,5
chuyên viên quan hệ khách hàng cá nhân,5
nhân viên social media,5
quản lý bếp ăn công nghiệp,5
phụ bếp,5
nhân viên hành chính tổng hợp,5
kế toán tài sản,5
nhân viên dự toán,5
chuyên viên phát triển đại lý,5
b2b sales executive,5
trưởng nhóm quản lý chất lượng,5
kế toán tổng hợp tại hà nội,5
chuyên viên phát triển kinh doanh b2b,5
phụ trách kinh doanh,5
cán bộ kỹ thuật hiện trường,5
kỹ sư an toàn lao động,5
kỹ sư sản xuất,5
trưởng nhóm thương mại điện tử,5
kỹ sư dự án,5
giáo viên ngữ văn,5
bếp trưởng,5
nhân viên phát triển sản phẩm,5
cửa hàng trưởng nhà thuốc,5
nữ hộ sinh,5
nhân viên kinh doanh hóa chất,5
kế toán sản xuất,5
nhân viên phát triển đại lý,5
quản lý spa,5
trưởng phòng chăm sóc khách hàng,5
nhân viên kinh doanh tư vấn bán hàng,5
kỹ sư công trình,5
telemarketing team leader,5
project coordinator,5
trưởng phòng tài chính,5
nhân viên bếp nhà hàng,5
trưởng phòng trade marketing,5
nhân viên lập trình,5
nhân viên kho hàng,5
trưởng phòng vận hành,5
tài xế lái xe,5
chuyên viên qa,5
phiên dịch tiếng nhật,5
accountant,5
họa viên kiến trúc,5
nhân viên kinh doanh mt,5
thực tập sinh,5
kỹ sư dự toán,5
quản lý vận hành trường mầm non,5
tập sự tư vấn đầu tư,5
nhân viên sàn thương mại điện tử,5
nhân viên bán hàng online,5
data analyst,5
nhân viên mua hàng purchasing staff,5
trợ lý tổng giám đốc tiếng trung,5
nhân viên livestream bán hàng,5
chuyên viên tư vấn bảo hiểm kênh hợp tác ngân hàng ocean bank,5
marketing facebook ads,5
nhân viên nghiệp vụ,5
trợ lý phiên dịch tiếng trung,5
chuyên viên tư vấn chuyên viên kinh doanh sales bán hàng thu nhập từ 16 triệu trở lên hồ chí minh,5
nhân viên seo web,5
talent acquisition executive,5
trưởng phòng thu mua,5
chuyên viên video editor,5
nhân viên kỹ thuật lắp đặt,5
giám sát an toàn,5
trưởng phòng kinh doanh online,5
unity developer,5
kỹ sư hạ tầng đô thị,5
nhân viên chăm sóc khách hàng customer service,5
chuyên viên chuyên viên cao cấp tư vấn đầu tư khách hàng cá nhân,5
biên tập viên,5
biên phiên dịch tiếng trung,5
nhân viên thống kê,5
kỹ sư thiết kế pccc,5
web designer,5
kỹ sư xây dựng đi làm ngay,5
nhân viên design,5
chuyên viên điều tra gian lận,5
trưởng phòng kinh doanh dự án,5
ecommerce manager,5
nhân viên hành chính kế toán trang trại,5
nhân viên it support,5
thư ký kinh doanh,5
nhân viên ie,5
nhân viên giám sát,5
trưởng phòng thiết kế,5
nhân viên bán hàng thị trường,5
giám sát khu vực,5
nhân viên hành chính văn phòng biết tiếng trung,5
nhân viên tổng vụ,5
nhân viên kiểm toán nội bộ,5
nhân viên bán hàng đà nẵng,5
nhân viên thu mua tiếng trung,5
designer,5
trợ lý phó tổng giám đốc,5
giám sát nội thất,5
marketing team leader,5
nhân viên bếp bánh,5
nhân viên bảo trì tòa nhà,5
chuyên viên kinh doanh phần mềm,5
nhân viên bếp,5
nhân viên tiếng trung,5
giám sát chuyên môn tiếng anh,5
nhân viên an ninh,5
giám đốc kinh doanh bất động sản,5
trợ lý,5
kỹ sư an toàn,5
nhân viên kĩ thuật,5
trưởng phòng kế hoạch,5
kế toán tổng hợp kiêm kế toán thuế,5
chuyên viên quản lý tài sản,5
nhân viên tuyển dụng và đào tạo,5
nhân viên buồng phòng,5
nhân viên quay dựng video editor,5
trợ lý giám đốc kinh doanh,5
nhân viên chăm sóc khách hàng sàn thương mại điện tử,5
kỹ sư thiết kế cơ điện,5
nhân viên tư vấn internet mạng viettel,5
telesale,5
nhân viên seo website,5
nhân viên sales logistics,5
chuyên viên tư vấn giáo dục lương 13 triệu tháng,5
nhân viên chăm sóc khách hàng kênh chat không yêu cầu kinh nghiệm,5
nhân viên tư vấn trả góp kênh điện máy,5
thiết kế nội thất,5
brand marketing,5
kỹ sư hạ tầng kỹ thuật,4
giáo viên bổ trợ ngữ pháp parttime,4
trưởng nhóm hành chính nhân sự,4
nhân viên lái xe tải,4
giám sát bán hàng kênh mt siêu thị,4
bình dương nhân viên nhân sự,4
tuyển gấp tổ trưởng nhà hàng,4
nhân viên iso,4
thợ sửa chữa ô tô,4
kế toán công trình,4
maintenance supervisor,4
nhân viên kinh doanh ngành thiết bị thẩm mỹ,4
chuyên viên tư vấn khóa học,4
nhân viên đóng gói,4
quản lý chất lượng,4
nhân viên kỹ thuật bảo trì tòa nhà,4
nhân viên designer,4
nhân viên kinh doanh thương mại điện tử,4
kỹ sư giám sát điện đi làm ngay,4
nhân viên chăm sóc khách hàng viettel không yêu cầu kinh nghiệm,4
kỹ sư thiết kế phòng cháy chữa cháy,4
kiểm soát viên thẩm định,4
nhân viên pr marketing,4
product marketing,4
nhân viên kiểm thử phần mềm,4
chuyên viên kinh tế kế hoạch,4
nhân viên hành chánh nhân sự,4
trưởng phòng kinh doanh kênh gt,4
chuyên viên kế toán kế toán thuế,4
nhân viên thu mua vật tư,4
trade marketing leader,4
lập trình viên net,4
chuyên viên pháp lý dự án,4
vietjet air tổng đài viên chăm sóc khách hàng,4
kỹ thuật viên technician,4
thực tập sinh chăm sóc khách hàng,4
senior full stack developer,4
nhân viên marketing tiktok ads,4
trưởng nhóm sales online,4
pricing logistics,4
nhân viên kỹ thuật vận hành máy,4
nhân viên kinh doanh xe tải,4
nhân viên bảo trì máy,4
nhân viên bán hàng kênh truyền thống,4
kỹ sư đảm bảo chất lượng,4
nhân viên thu hồi nợ qua điện thoại,4
nhân viên nhân sự c b,4
nhân viên tiktok ads,4
nhân viên giám sát thi công,4
nhân viên đứng máy cnc,4
giáo viên tiếng nhật,4
chuyên viên kinh doanh nội thất,4
nhân viên tư vấn trả góp nhận việc ngay,4
area sales manager,4
chef de partie việc làm khách sạn 5 nước ngoài,4
nhân viên kinh doanh sản phẩm cho nuôi trồng thủy sản,4
chuyên viên tập sự khách hàng cá nhân cn nghệ an,4
nhân viên sinh quản,4
design engineer,4
quản lý cửa hàng thời trang nữ,4
chuyên viên mua hàng ngành f b,4
nhân viên bảo trì trang trại,4
nhân viên tư vấn tuyển sinh sales,4
telesale thẩm mỹ viện,4
kỹ thuật viên phòng thí nghiệm,4
nhân viên kế toán doanh thu,4
nhân viên call center,4
trưởng phòng kinh doanh thương mại điện tử,4
chuyên viên khách hàng cá nhân cn thái bình,4
medical sales representative,4
nhân viên media quay dựng,4
chuyên viên tuyển dụng phòng nhân sự,4
nhân viên dịch vụ internet mạng viettel,4
giám sát cửa hàng gà rán jollibee,4
customer service team leader,4
sales thị trường,4
hiệu trưởng mầm non,4
tpbank nhân viên chăm sóc khách hàng,4
công nhân cơ điện,4
nhân viên it phần mềm,4
chuyên viên đánh giá chất lượng cuộc gọi,4
nhân viên khai thác,4
thư ký ban giám đốc,4
system administrator,4
nhân viên tư vấn khách hàng,4
bsv nhân viên tư vấn cước dịch vụ viettel,4
trưởng nhóm nhân sự,4
marketing planner,4
trưởng phòng kế hoạch sản xuất,4
